system:index,d0,d1,d2,d3,d4,d5,d6,d7,d8,id_c,.geo
00000000000000001695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,160733,"{""type"":""Polygon"",""coordinates"":[[[79.1091169395132,9.267055396947038],[79.17636906145208,9.262440288598027],[79.22170919357588,9.255938881863232],[79.29442825460143,9.24665951224317],[79.33221914261821,9.231939993079182],[79.35192837090702,9.220279422834452],[79.37664960370277,9.195549237916046],[79.41249184426475,9.168611857218888],[79.44622941591999,9.15993000229005],[79.38894559438661,9.212050171684353],[79.3316616976068,9.264170374507978],[79.22781816701625,9.291749903693256],[79.20423842520403,9.288499269412398],[79.12348858707266,9.292499029573946],[79.11317021035629,9.296164418772234],[79.1091169395132,9.267055396947038]]]}"
000000000000000019af,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164113,"{""type"":""MultiPolygon"",""coordinates"":[[[[88.30742636866418,21.631063556722545],[88.30632945958563,21.610591820447322],[88.34479363189838,21.59987210055902],[88.35659684658201,21.631063549402676],[88.30742636866418,21.631063556722545]]],[[[88.06209555523903,21.631063563069084],[88.06498060289805,21.629721384971884],[88.13234871158505,21.620549008403117],[88.13563059280723,21.631063522062284],[88.06209555523903,21.631063563069084]]],[[[88.1946646342814,21.631063521051257],[88.20116151189454,21.609717790733416],[88.22932519725417,21.579228675370523],[88.25748892120306,21.54873963967326],[88.3045279437904,21.56715127873816],[88.2971570313062,21.63106357142824],[88.24591082437311,21.63106349994789],[88.1946646342814,21.631063521051257]]]]}"
000000000000000019ed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164423,"{""type"":""MultiPolygon"",""coordinates"":[[[[88.35659684658201,21.631063549402676],[88.34479363189838,21.59987210055902],[88.40264157640526,21.58374802763261],[88.45039852323559,21.611389969827243],[88.46044937184367,21.63106357807257],[88.40852306887756,21.6310634971424],[88.35659684658201,21.631063549402676]]],[[[88.69613513656033,21.631063531975663],[88.71200955055475,21.562290835087037],[88.73624028260326,21.550278034130105],[88.77845903542352,21.555000170967368],[88.81547400814438,21.591939413657254],[88.85248901481789,21.628878596444274],[88.87840981812408,21.630778129076262],[88.87852127010284,21.63106349706063],[88.83292472605474,21.63106350140735],[88.78732823437413,21.63106352473909],[88.74173165412385,21.63106356517675],[88.69613513656033,21.631063531975663]]],[[[88.52018794146437,21.63106355332261],[88.51172900825202,21.591801162630095],[88.49177898594445,21.577911008629233],[88.48318183937424,21.55388987465618],[88.49443215148492,21.524169993723387],[88.49803064043307,21.520549166643093],[88.51192964700384,21.521940374947775],[88.53826958191128,21.525851049335877],[88.57222113918317,21.55999882887303],[88.60165123971588,21.609717795673536],[88.60661863644961,21.63106357867652],[88.56340328721366,21.631063517583762],[88.52018794146437,21.63106355332261]]]]}"
00000000000000001a2a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,164733,"{""type"":""MultiPolygon"",""coordinates"":[[[[88.87852127010284,21.63106349706063],[88.87840981812408,21.630778129076262],[88.8823114840121,21.631063500708525],[88.87852127010284,21.63106349706063]]],[[[88.9284141638978,21.631063543312436],[88.9690677582361,21.61598281767822],[89.00972141317011,21.600902208360417],[89.06039912317883,21.608611999337803],[89.08437118663703,21.62519978672424],[89.08506233957507,21.631063528888088],[89.04590032479821,21.63106349426143],[89.00673826642803,21.63106356109362],[88.96757623735562,21.63106354742741],[88.9284141638978,21.631063543312436]]]]}"
00000000000000001269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,157015,"{""type"":""Polygon"",""coordinates"":[[[73.02041057861807,8.262428886987633],[73.03103217651017,8.24749980420988],[73.04886863359437,8.253051419495478],[73.0658087296142,8.263048716568576],[73.07317958160601,8.274718154199933],[73.08194172610817,8.303051266582452],[73.07886947459319,8.310279497983704],[73.02041057861807,8.262428886987633]]]}"
00000000000000001e0a,364.49127676172117,285.83192750472847,0.0,0.0,285.83192750472847,280.45455512237095,67.7351961838195,0.0,285.83192750472847,169416,"{""type"":""MultiPolygon"",""coordinates"":[[[[93.45478969510614,8.09900726605944],[93.47498941440129,8.007502082084828],[93.48323870743744,7.990691271076004],[93.5017306059204,8.007537709229801],[93.51476460802121,8.099007276764612],[93.45478969510614,8.09900726605944]]],[[[93.30582003092918,7.939438310843977],[93.30900827878472,7.925418933957145],[93.34595194505279,7.883472202990683],[93.35679200991136,7.876801380718551],[93.4535991036355,7.868957758858912],[93.46026991179444,7.887641442684005],[93.45832126794954,7.902780068847758],[93.4502814840004,7.9291690147104354],[93.44386042263562,7.943612080646113],[93.39144810378855,8.01172034320513],[93.3854015642675,8.016799283747872],[93.37469081462594,8.019158123847955],[93.35664930331434,8.013891935411571],[93.31596004816849,7.995417862873139],[93.30664052005939,7.95278000037665],[93.30582003092918,7.939438310843977]]]]}"
00000000000000001e4d,7.761796406437369,7.598417130989187,0.0,0.0,7.598417130989187,7.598417130989187,1.5528746546410461,0.0,7.598417130989187,169725,"{""type"":""MultiPolygon"",""coordinates"":[[[[93.52843615715928,8.193812217183163],[93.53406800958301,8.208830439346775],[93.53146392518285,8.214631794512563],[93.52843615715928,8.193812217183163]]],[[[93.51476460802121,8.099007276764612],[93.52473064916246,8.09900727323249],[93.52443192442611,8.100001619640592],[93.52027156593725,8.109441545293437],[93.52125700446929,8.144177988514734],[93.51476460802121,8.099007276764612]]]]}"
00000000000000001e4e,59.130455986191244,56.5895884486244,0.0,0.0,56.5895884486244,55.65456499180519,13.330084182935602,0.0,56.5895884486244,169726,"{""type"":""Polygon"",""coordinates"":[[[93.51476460802121,8.099007276764612],[93.5017306059204,8.007537709229801],[93.53478147893935,8.03764115028282],[93.53665872520997,8.056940131973994],[93.53248060382772,8.07360825182747],[93.52473064916246,8.09900727323249],[93.51476460802121,8.099007276764612]]]}"
00000000000000001e4f,229.28262912525886,148.3015317291332,0.0,0.0,148.3015317291332,134.07452327594123,52.000120611378115,0.0,148.3015317291332,169727,"{""type"":""Polygon"",""coordinates"":[[[93.59637950283783,7.306531365872201],[93.60364786664206,7.287433016575139],[93.68446462273732,7.28743306768153],[93.72727191707627,7.324028898744188],[93.73483906588199,7.36297912904101],[93.69554994150542,7.410281254799483],[93.6969277550754,7.422780126282018],[93.69380191099566,7.436598858510269],[93.679140450057,7.3896579212567985],[93.64720882299399,7.373979761765867],[93.61763154331724,7.367081535855392],[93.60803115151737,7.345280948041392],[93.59637950283783,7.306531365872201]]]}"
00000000000000001d27,1087.1230858028484,595.8992135171804,0.0,0.0,591.4577417520746,560.124430777557,371.2653222511056,0.0,595.8992135171804,168472,"{""type"":""Polygon"",""coordinates"":[[[92.88870677608864,13.392459671663296],[92.94991913520207,13.392459611745462],[93.01113140599158,13.392459630372334],[93.03118619150509,13.47588721808712],[93.05124102004041,13.559314765311957],[93.04498937066974,13.570141486693705],[93.0063780300371,13.571389964627503],[92.94386144335733,13.543047987058346],[92.89248812544577,13.465000266598375],[92.90030041400625,13.434660613388766],[92.88870677608864,13.392459671663296]]]}"
00000000000000001d28,2636.738018934147,1106.3473595045466,0.0,0.0,1103.4635238671926,1106.3473595045466,719.9400437676685,0.0,1106.3473595045466,168473,"{""type"":""Polygon"",""coordinates"":[[[92.88870677608864,13.392459671663296],[92.88505029815988,13.379118000397854],[92.86084182847495,13.370141837021803],[92.84067782680582,13.327499488824575],[92.83207178002789,13.163890573515587],[92.81192998285962,13.065549600766435],[92.80802825274989,13.052221341992976],[92.80636945175833,13.034438400410696],[92.8083092231143,12.983916816930028],[92.9027752520361,12.98391681401287],[92.93011846552034,13.064029032669735],[92.93422971572213,13.06615156667228],[92.95345515796868,13.14772857930796],[92.97268055862497,13.229305578816442],[92.9919059794514,13.310882653362334],[93.01113140599158,13.392459630372334],[92.94991913520207,13.392459611745462],[92.88870677608864,13.392459671663296]]]}"
