system:index,d0,d1,d2,d3,d4,d5,d6,d7,d8,id_c,.geo
00000000000000003753,193.3695740699768,192.249538064003,192.249538064003,192.249538064003,192.249538064003,34.81137478351593,53.66205322742462,0.0,192.249538064003,85168,"{""type"":""Polygon"",""coordinates"":[[[-45.175705678652236,-21.213437494214862],[-45.195626747274666,-21.31733566073164],[-45.21554774273534,-21.421233870750147],[-45.23546879558722,-21.525132040977248],[-45.255389821996744,-21.629030163030126],[-45.190149811340405,-21.629030198368163],[-45.12490982044553,-21.629030212061483],[-45.059669856315814,-21.629030177763468],[-44.99442989135231,-21.629030207236433],[-44.929189867882215,-21.629030156895553],[-44.86394988322202,-21.62903019023666],[-44.79870987484145,-21.629030216083503],[-44.73346992097908,-21.62903016506252],[-44.71377847175101,-21.52513202436716],[-44.6940871328562,-21.421233840281776],[-44.67439570138368,-21.317335718003342],[-44.654704332468434,-21.213437500523256],[-44.71982952926759,-21.21343751800549],[-44.78495469684898,-21.21343750777034],[-44.85007983324584,-21.213437519067718],[-44.9152050058241,-21.213437505226825],[-44.98033020842121,-21.213437514118123],[-45.04545533142338,-21.213437532290737],[-45.11058049912108,-21.213437483068958],[-45.175705678652236,-21.213437494214862]]]}"
00000000000000003754,294.6250267376503,282.1711937263608,282.1711937263608,282.1711937263608,282.1711937263608,282.1711937263608,184.2967283303539,5.415684603154659,282.1711937263608,85169,"{""type"":""Polygon"",""coordinates"":[[[-45.255389821996744,-21.629030163030126],[-45.275800231337556,-21.733042043699392],[-45.29621065596179,-21.837053934890154],[-45.31662108262944,-21.94106578523173],[-45.337031498096074,-22.045077690595228],[-45.27167394750422,-22.045077682484667],[-45.20631634755234,-22.04507769305414],[-45.140958705422584,-22.045077692962455],[-45.07560110151186,-22.045077677086187],[-45.01024347543366,-22.045077661650414],[-44.94488588042301,-22.04507769314378],[-44.87952832480631,-22.04507766270834],[-44.81417073641676,-22.04507767972518],[-44.793995533796505,-21.94106579287113],[-44.773820333707135,-21.83705395647874],[-44.753645077473244,-21.73304208539254],[-44.73346992097908,-21.62903016506252],[-44.79870987484145,-21.629030216083503],[-44.86394988322202,-21.62903019023666],[-44.929189867882215,-21.629030156895553],[-44.99442989135231,-21.629030207236433],[-45.059669856315814,-21.629030177763468],[-45.12490982044553,-21.629030212061483],[-45.190149811340405,-21.629030198368163],[-45.255389821996744,-21.629030163030126]]]}"
00000000000000003755,3760.5620560028256,3618.8321160647683,3618.8321160647683,3618.8321160647683,3618.8321160647683,3418.01116747145,2734.2955564677827,20.751683849220477,3618.8321160647683,85170,"{""type"":""Polygon"",""coordinates"":[[[-45.337031498096074,-22.045077690595228],[-45.35793690683332,-22.14920549732731],[-45.378842285495,-22.25333332662996],[-45.39974769161311,-22.357461159558394],[-45.4206530392497,-22.46158893145911],[-45.35517451119266,-22.46158893280593],[-45.28969593226256,-22.4615889492479],[-45.2242173810395,-22.46158897372989],[-45.15873879486295,-22.461588948638248],[-45.09326025601163,-22.46158893732846],[-45.02778170592684,-22.46158895229747],[-44.962303177392194,-22.461588969799557],[-44.896824617612374,-22.461588963706934],[-44.876161143316686,-22.357461134398527],[-44.855497686240575,-22.253333290706735],[-44.83483418886448,-22.149205492619274],[-44.81417073641676,-22.04507767972518],[-44.87952832480631,-22.04507766270834],[-44.94488588042301,-22.04507769314378],[-45.01024347543366,-22.045077661650414],[-45.07560110151186,-22.045077677086187],[-45.140958705422584,-22.045077692962455],[-45.20631634755234,-22.04507769305414],[-45.27167394750422,-22.045077682484667],[-45.337031498096074,-22.045077690595228]]]}"
000000000000000037b3,1079.1199070438743,1055.6797539939482,1055.6797539939482,1055.6797539939482,1055.6797539939482,964.7048102070887,649.4819812571319,55.20183655619621,1055.6797539939482,85479,"{""type"":""Polygon"",""coordinates"":[[[-44.73346992097908,-21.62903016506252],[-44.753645077473244,-21.73304208539254],[-44.773820333707135,-21.83705395647874],[-44.793995533796505,-21.94106579287113],[-44.81417073641676,-22.04507767972518],[-44.74881312472993,-22.045077702853458],[-44.68345549727277,-22.045077690022055],[-44.618097931360694,-22.04507771696066],[-44.552740287248355,-22.04507771809584],[-44.48738271019009,-22.045077671767174],[-44.42202512817874,-22.045077701391946],[-44.35666746685829,-22.04507771458621],[-44.29130986623548,-22.04507768806459],[-44.27137102037192,-21.94106584716479],[-44.25143212871777,-21.837053914513746],[-44.23149327564002,-21.733042032601407],[-44.211554400915325,-21.629030178015988],[-44.27679382627379,-21.62903020027916],[-44.34203329202487,-21.629030192912204],[-44.407272734720294,-21.629030158428595],[-44.47251216132198,-21.62903021797197],[-44.537751576844286,-21.629030205334068],[-44.60299105611415,-21.629030144572777],[-44.668230456628834,-21.62903020320295],[-44.73346992097908,-21.62903016506252]]]}"
00000000000000003879,3351.601543776827,3120.3688442539233,3120.3688442539233,3120.3688442539233,3120.3688442539233,3087.5603534113425,2219.0816713519553,201.03046017386077,3120.3688442539233,86100,"{""type"":""Polygon"",""coordinates"":[[[-43.76844911655862,-22.04507764992415],[-43.78863096813228,-22.149205541034263],[-43.80881286457909,-22.25333333864355],[-43.82899472064992,-22.35746112389225],[-43.84917666993199,-22.461588904891858],[-43.783698619534356,-22.461588987885637],[-43.7182206712374,-22.46158893409549],[-43.652742658701825,-22.46158896117451],[-43.587264632746695,-22.46158892261134],[-43.52178664263677,-22.46158896112595],[-43.45630866259245,-22.4615889536014],[-43.39083066489091,-22.461588921191353],[-43.325352693550194,-22.46158893261782],[-43.30541158396732,-22.357461148937077],[-43.2854704884959,-22.2533332857071],[-43.265529344949165,-22.149205517764663],[-43.24558823862643,-22.045077681189817],[-43.310945874748306,-22.045077682282457],[-43.37630346864028,-22.04507768874429],[-43.44166105441848,-22.045077684107373],[-43.507018664259725,-22.04507772381021],[-43.572376255082894,-22.045077669381904],[-43.6377338554733,-22.045077719994367],[-43.70309149207377,-22.04507771185152],[-43.76844911655862,-22.04507764992415]]]}"
0000000000000000395d,198.45054308873983,194.4400488612187,194.4400488612187,194.4400488612187,194.4400488612187,184.15464599244297,154.7363925021781,104.61916051618755,194.4400488612187,87028,"{""type"":""Polygon"",""coordinates"":[[[-42.04970638597019,-21.213437497627957],[-42.06824960030936,-21.317335661860604],[-42.0867927289968,-21.42123383530024],[-42.105335914214685,-21.525132059640857],[-42.1238790716835,-21.629030226430558],[-42.0586390770203,-21.629030208274614],[-41.993399152520816,-21.629030180055025],[-41.9281591516572,-21.6290301666542],[-41.86291915298673,-21.629030196154638],[-41.79767915802023,-21.62903017191643],[-41.73243916673342,-21.629030218188632],[-41.6671991775682,-21.62903016325126],[-41.60195918743403,-21.62903020437094],[-41.583645647942106,-21.525132012932637],[-41.565332099813475,-21.421233846480312],[-41.54701855133698,-21.317335680316393],[-41.52870508705368,-21.213437468234684],[-41.593830211929344,-21.213437522338257],[-41.65895542203288,-21.213437489974396],[-41.72408057187019,-21.213437518694555],[-41.78920574280787,-21.213437539222934],[-41.8543309385209,-21.213437504695822],[-41.91945608544539,-21.213437538158775],[-41.98458126007835,-21.213437495148998],[-42.04970638597019,-21.213437497627957]]]}"
0000000000000000395e,6054.843774019879,5841.470408866757,5841.470408866757,5841.470408866757,5841.470408866757,5829.822510880062,3596.758997868515,746.3459289717237,5841.470408866757,87029,"{""type"":""Polygon"",""coordinates"":[[[-42.1238790716835,-21.629030226430558],[-42.142875973848284,-21.73304206833266],[-42.16187288768957,-21.837053913203377],[-42.18086972836943,-21.94106579907264],[-42.19986663709107,-22.045077694105835],[-42.134509011010046,-22.045077712667727],[-42.069151475093655,-22.045077673003348],[-42.0037938114117,-22.04507770169175],[-41.93843625346555,-22.04507770892704],[-41.87307865546486,-22.04507772277725],[-41.807721021073,-22.04507772331492],[-41.74236342837131,-22.045077666448204],[-41.677005802181135,-22.04507770268195],[-41.65824416411628,-21.941065814988125],[-41.639482484315124,-21.837053923068407],[-41.620720847808165,-21.733042052941826],[-41.60195918743403,-21.62903020437094],[-41.6671991775682,-21.62903016325126],[-41.73243916673342,-21.629030218188632],[-41.79767915802023,-21.62903017191643],[-41.86291915298673,-21.629030196154638],[-41.9281591516572,-21.6290301666542],[-41.993399152520816,-21.629030180055025],[-42.0586390770203,-21.629030208274614],[-42.1238790716835,-21.629030226430558]]]}"
0000000000000000395f,14806.56760519605,13880.329080806636,13880.329080806636,13880.329080806636,13880.329080806636,13286.308368691765,9439.405667628305,391.0322963800475,13880.329080806636,87030,"{""type"":""Polygon"",""coordinates"":[[[-42.19986663709107,-22.045077694105835],[-42.21932614390218,-22.149205475621912],[-42.238785665247775,-22.25333330749316],[-42.25824519087911,-22.357461129345438],[-42.27770471054993,-22.461588955145274],[-42.227783945447655,-22.461588922434508],[-42.177863231324125,-22.461588968757244],[-42.12794243957025,-22.461588934166052],[-42.07802174248288,-22.461588930242115],[-42.02810093469656,-22.461588967893558],[-41.978180187658815,-22.46158893739193],[-41.92825944583864,-22.461588948547575],[-41.87833872872821,-22.461588939408315],[-41.849720219502494,-22.437781767107552],[-41.80477694478067,-22.397034493380815],[-41.759833634634376,-22.356287236991747],[-41.72912384035889,-22.32848921899834],[-41.7160943414219,-22.257636342754495],[-41.70306484608208,-22.186783441990425],[-41.690035357347305,-22.115930563214942],[-41.677005802181135,-22.04507770268195],[-41.74236342837131,-22.045077666448204],[-41.807721021073,-22.04507772331492],[-41.87307865546486,-22.04507772277725],[-41.93843625346555,-22.04507770892704],[-42.0037938114117,-22.04507770169175],[-42.069151475093655,-22.045077673003348],[-42.134509011010046,-22.045077712667727],[-42.19986663709107,-22.045077694105835]]]}"
000000000000000039a6,211.25011026859283,147.40157902240753,147.40157902240753,147.40157902240753,147.40157902240753,0.0,84.77418761700392,0.0,147.40157902240753,87340,"{""type"":""Polygon"",""coordinates"":[[[-41.677005802181135,-22.04507770268195],[-41.690035357347305,-22.115930563214942],[-41.70306484608208,-22.186783441990425],[-41.7160943414219,-22.257636342754495],[-41.72912384035889,-22.32848921899834],[-41.69889113536027,-22.301110348193397],[-41.67111087386455,-22.284999668947634],[-41.63944458803167,-22.269444078772914],[-41.607778262530616,-22.25388850011376],[-41.58167025783251,-22.243610239161043],[-41.543058894393646,-22.231111365112394],[-41.52112008322289,-22.224168615642547],[-41.46070597620143,-22.205139345714745],[-41.40029187571494,-22.186110103720647],[-41.343050351523,-22.169999425306298],[-41.30138901321952,-22.160559522224688],[-41.27862081256797,-22.15416959595369],[-41.23389160858737,-22.14056040697921],[-41.199311261698675,-22.12778061386493],[-41.16591258354856,-22.110274240696626],[-41.15414499522626,-22.04507771971964],[-41.2195025894816,-22.04507767581155],[-41.28486025415687,-22.045077713787048],[-41.35021784735584,-22.04507768274735],[-41.415575455596546,-22.045077658450122],[-41.48093301087964,-22.045077688532814],[-41.54629059649245,-22.04507769903601],[-41.61164821769721,-22.045077713064092],[-41.677005802181135,-22.04507770268195]]]}"
000000000000000039e8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87649,"{""type"":""Polygon"",""coordinates"":[[[-41.08003920163942,-21.629030181019385],[-41.09856564820814,-21.733042104837622],[-41.11709208880527,-21.83705393490924],[-41.13561859181465,-21.941065829455887],[-41.15414499522626,-22.04507771971964],[-41.097873387590354,-22.045077719686088],[-41.041601741323774,-22.045077683384267],[-41.02027830977441,-22.033889828067146],[-41.00195145485619,-22.023058647184033],[-40.98723194082115,-22.00861119186184],[-40.97014022766791,-21.98249869215654],[-40.966809240245325,-21.957920117681976],[-40.97962250030573,-21.887330269937863],[-40.99243572257757,-21.816740515746638],[-41.00524898128453,-21.74615068864384],[-41.018062196681505,-21.6755608926312],[-41.02994570614313,-21.62903015813941],[-41.08003920163942,-21.629030181019385]]]}"
